This list contains all games supported by FinalBurn Neo.

389 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 88games	|  	| '88 Games						| 		| 1988	| Konami	| GX861		| 					| 861m01.k18| src/burn/drv/konami/d_88games.cpp|
| trackfldnz	|  	| Track & Field (NZ bootleg?)				| trackfld	| 1982	| bootleg? (Gold| Miscellaneous	| 					| gold.7a| src/burn/drv/konami/d_trackfld.cpp|
| tricktrp	|  	| Trick Trap (World?)					| 		| 1987	| Konami	| GX771		| 					| 771e04| src/burn/drv/konami/d_labyrunr.cpp|
| trigon	|  	| Trigon (Japan)					| lgtnfght	| 1990	| Konami	| GX939		| 					| 939j02.e11| src/burn/drv/konami/d_tmnt.cpp|
| tutankhm	|  	| Tutankham						| 		| 1982	| Konami	| GX350		| 					| m1.1h| src/burn/drv/konami/d_tutankhm.cpp|
| tutankhms	|  	| Tutankham (Stern Electronics)				| tutankhm	| 1982	| Konami (Stern | GX350		| 					| m1.1h| src/burn/drv/konami/d_tutankhm.cpp|
| twinbeeb	|  	| TwinBee (Bubble System)				| twinbee	| 1985	| Konami	| Miscellaneous	| 					| boot.bin| src/burn/drv/konami/d_nemesis.cpp|
| twinbee	|  	| TwinBee (ROM version)					| 		| 1985	| Konami	| GX412		| 					| 400-a06.15l| src/burn/drv/konami/d_nemesis.cpp|
| typhoon	|  	| Typhoon						| ajax		| 1987	| Konami	| GX770		| 					| 770_k01.n11| src/burn/drv/konami/d_ajax.cpp|
| ultraman	|  	| Ultraman (Japan)					| 		| 1991	| Banpresto / Ba| GX910		| 					| 910-b01.c11| src/burn/drv/konami/d_ultraman.cpp|
| vendetta2pd	|  	| Vendetta (Asia, 2 Players ver. D)			| vendetta	| 1991	| Konami	| GX081		| 					| 081d01.17c| src/burn/drv/konami/d_vendetta.cpp|
| vendetta2pu	|  	| Vendetta (Asia, 2 Players ver. U)			| vendetta	| 1991	| Konami	| GX081		| 					| 081u01.17c| src/burn/drv/konami/d_vendetta.cpp|
| vendettaz	|  	| Vendetta (Asia, 4 Players ver. Z)			| vendetta	| 1991	| Konami	| GX081		| 					| 081z01.17c| src/burn/drv/konami/d_vendetta.cpp|
| vendettar	|  	| Vendetta (US, 4 Players ver. R)			| vendetta	| 1991	| Konami	| GX081		| 					| 081r01.17c| src/burn/drv/konami/d_vendetta.cpp|
| vendetta2pun	|  	| Vendetta (World, 2 Players ver. ?)			| vendetta	| 1991	| Konami	| GX081		| 					| 1.17c| src/burn/drv/konami/d_vendetta.cpp|
| vendetta2peba	|  	| Vendetta (World, 2 Players ver. EB-A?)		| vendetta	| 1991	| Konami	| GX081		| 					| 081-eb-a01.17c| src/burn/drv/konami/d_vendetta.cpp|
| vendetta2pw	|  	| Vendetta (World, 2 Players ver. W)			| vendetta	| 1991	| Konami	| GX081		| 					| 081w01.17c| src/burn/drv/konami/d_vendetta.cpp|
| vendetta	|  	| Vendetta (World, 4 Players ver. T)			| 		| 1991	| Konami	| GX081		| 					| 081t01.17c| src/burn/drv/konami/d_vendetta.cpp|
| vendettaun	|  	| Vendetta (World, 4 Players, ver. ?)			| vendetta	| 1991	| Konami	| GX081		| 					| 1.17c| src/burn/drv/konami/d_vendetta.cpp|
| venus		|  	| Venus							| gyruss	| 1983	| bootleg	| GX347		| 					| r1| src/burn/drv/konami/d_gyruss.cpp|
| viostormab	|  	| Violent Storm (ver AAB)				| viostorm	| 1993	| Konami	| GX168		| 					| 168aab01.15h| src/burn/drv/konami/d_mystwarr.cpp|
| viostorma	|  	| Violent Storm (ver AAC)				| viostorm	| 1993	| Konami	| GX168		| 					| 168aac01.15h| src/burn/drv/konami/d_mystwarr.cpp|
| viostormeb	|  	| Violent Storm (ver EAB)				| viostorm	| 1993	| Konami	| GX168		| 					| 168eab01.15h| src/burn/drv/konami/d_mystwarr.cpp|
| viostorm	|  	| Violent Storm (ver EAC)				| 		| 1993	| Konami	| GX224		| 					| 168eac01.15h| src/burn/drv/konami/d_mystwarr.cpp|
| viostormj	|  	| Violent Storm (ver JAC)				| viostorm	| 1993	| Konami	| GX168		| 					| 168jac01.b01| src/burn/drv/konami/d_mystwarr.cpp|
| viostormub	|  	| Violent Storm (ver UAB)				| viostorm	| 1993	| Konami	| GX168		| 					| 168uab01.15h| src/burn/drv/konami/d_mystwarr.cpp|
| viostormu	|  	| Violent Storm (ver UAC)				| viostorm	| 1993	| Konami	| GX168		| 					| 168uac01.15h| src/burn/drv/konami/d_mystwarr.cpp|
| vulcan	|  	| Vulcan Venture (New)					| 		| 1988	| Konami	| GX785		| 					| 785_w05.6n| src/burn/drv/konami/d_twin16.cpp|
| vulcana	|  	| Vulcan Venture (Old)					| vulcan	| 1988	| Konami	| GX785		| 					| 785_r05.6n| src/burn/drv/konami/d_twin16.cpp|
| vulcanb	|  	| Vulcan Venture (Oldest)				| vulcan	| 1988	| Konami	| GX785		| 					| 785_n05.6n| src/burn/drv/konami/d_twin16.cpp|
| weclemanc	|  	| WEC Le Mans 24 (v1.26)				| wecleman	| 1986	| Konami	| Miscellaneous	| 					| 17h| src/burn/drv/konami/d_wecleman.cpp|
| weclemana	|  	| WEC Le Mans 24 (v2.00)				| wecleman	| 1986	| Konami	| Miscellaneous	| 					| 602f08.17h| src/burn/drv/konami/d_wecleman.cpp|
| weclemanb	|  	| WEC Le Mans 24 (v2.00, hack)				| wecleman	| 1988	| hack		| Miscellaneous	| 					| 602f08.17h| src/burn/drv/konami/d_wecleman.cpp|
| wecleman	|  	| WEC Le Mans 24 (v2.01)				| 		| 1986	| Konami	| Miscellaneous	| 					| 602g08.17h| src/burn/drv/konami/d_wecleman.cpp|
| moomesabl	| D NW	| Wild West C.O.W.-Boys of Moo Mesa (bootleg)		| moomesa	| 1992	| bootleg	| GX151		| 					| moo03.rom| src/burn/drv/konami/d_moo.cpp|
| moomesaaab	|  	| Wild West C.O.W.-Boys of Moo Mesa (ver AAB)		| moomesa	| 1992	| Konami	| GX151		| 					| 151b01.q5| src/burn/drv/konami/d_moo.cpp|
| moomesa	|  	| Wild West C.O.W.-Boys of Moo Mesa (ver EAB)		| 		| 1992	| Konami	| GX151		| 					| 151b01.q5| src/burn/drv/konami/d_moo.cpp|
| moomesauab	|  	| Wild West C.O.W.-Boys of Moo Mesa (ver UAB)		| moomesa	| 1992	| Konami	| GX151		| 					| 151b01.q5| src/burn/drv/konami/d_moo.cpp|
| moomesauac	|  	| Wild West C.O.W.-Boys of Moo Mesa (ver UAC)		| moomesa	| 1992	| Konami	| GX151		| 					| 151c01.q5| src/burn/drv/konami/d_moo.cpp|
| wizzquiz	|   NW	| Wizz Quiz (Konami version)				| 		| 1985	| Zilec-Zenitone| Miscellaneous	| 					| pros.rom| src/burn/drv/konami/d_trackfld.cpp|
| wizzquiza	|   NW	| Wizz Quiz (version 4)					| wizzquiz	| 1985	| Zilec-Zenitone| Miscellaneous	| 					| ic9_a1.bin| src/burn/drv/konami/d_trackfld.cpp|
| xmen2pa	|  	| X-Men (2 Players ver AAA)				| xmen		| 1992	| Konami	| GX065		| 					| 065-aaa04.10d| src/burn/drv/konami/d_xmen.cpp|
| xmen2pe	|  	| X-Men (2 Players ver EAA)				| xmen		| 1992	| Konami	| GX065		| 					| 065-eaa04.10d| src/burn/drv/konami/d_xmen.cpp|
| xmen2pj	|  	| X-Men (2 Players ver JAA)				| xmen		| 1992	| Konami	| GX065		| 					| 065-jaa04.10d| src/burn/drv/konami/d_xmen.cpp|
| xmen2pu	|  	| X-Men (2 Players ver UAB)				| xmen		| 1992	| Konami	| GX065		| 					| 065-uab04.10d| src/burn/drv/konami/d_xmen.cpp|
| xmenaa	|  	| X-Men (4 Players ver ADA)				| xmen		| 1992	| Konami	| GX065		| 					| 065-ada04.10d| src/burn/drv/konami/d_xmen.cpp|
| xmena		|  	| X-Men (4 Players ver AEA)				| xmen		| 1992	| Konami	| GX065		| 					| 065-aea04.10d| src/burn/drv/konami/d_xmen.cpp|
| xmen		|  	| X-Men (4 Players ver EBA)				| 		| 1992	| Konami	| GX065		| 					| 065-eba04.10d| src/burn/drv/konami/d_xmen.cpp|
| xmenj		|  	| X-Men (4 Players ver JBA)				| xmen		| 1992	| Konami	| GX065		| 					| 065-jba04.10d| src/burn/drv/konami/d_xmen.cpp|
| xmenja	|  	| X-Men (4 Players ver JEA)				| xmen		| 1992	| Konami	| GX065		| 					| 065-jea04.10d| src/burn/drv/konami/d_xmen.cpp|
| xmenu		|  	| X-Men (4 Players ver UBB)				| xmen		| 1992	| Konami	| GX065		| 					| 065-ubb04.10d| src/burn/drv/konami/d_xmen.cpp|
| xmenua	|  	| X-Men (4 Players ver UEB)				| xmen		| 1992	| Konami	| GX065		| 					| 065-ueb04.10d| src/burn/drv/konami/d_xmen.cpp|
| xmen6p	|  	| X-Men (6 Players ver ECB)				| xmen		| 1992	| Konami	| GX065		| 					| 065-ecb04.18g| src/burn/drv/konami/d_xmen.cpp|
| xmen6pu	|  	| X-Men (6 Players ver UCB)				| xmen		| 1992	| Konami	| GX065		| 					| 065-ucb04.18g| src/burn/drv/konami/d_xmen.cpp|
| xexexa	|  	| Xexex (ver AAA)					| xexex		| 1991	| Konami	| GX067		| 					| 067aaa01.16d| src/burn/drv/konami/d_xexex.cpp|
| xexex		|  	| Xexex (ver EAA)					| 		| 1991	| Konami	| GX067		| 					| 067eaa01.16d| src/burn/drv/konami/d_xexex.cpp|
| xexexj	|  	| Xexex (ver JAA)					| xexex		| 1991	| Konami	| GX067		| 					| 067jaa01.16d| src/burn/drv/konami/d_xexex.cpp|
| yieartf	|  	| Yie Ar Kung-Fu (GX361 conversion)			| yiear		| 1985	| Konami	| Miscellaneous	| 					| 2.2a| src/burn/drv/konami/d_trackfld.cpp|
| yiear2	|  	| Yie Ar Kung-Fu (program code G)			| yiear		| 1985	| Konami	| GX407		| 					| 407_g08.10d| src/burn/drv/konami/d_yiear.cpp|
| yiear		|  	| Yie Ar Kung-Fu (program code I)			| 		| 1985	| Konami	| GX407		| 					| 407_i08.10d| src/burn/drv/konami/d_yiear.cpp|
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+-------------------------------------------------------+
