This list contains all games supported by FinalBurn Neo.

6907 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 88games	|  	| '88 Games						| 		| 1988	| Konami	| GX861		| 					| 861m01.k18| src/burn/drv/konami/d_88games.cpp|
| lastmisnj	|  	| Last Mission (Japan)					| lastmisn	| 1986	| Data East Corp| DEC8		| 					| dl03-.13h| src/burn/drv/dataeast/d_dec8.cpp|
| lastmisnu5	|  	| Last Mission (US revision 5)				| lastmisn	| 1986	| Data East USA	| DEC8		| 					| last_mission_dl03-5.13h| src/burn/drv/dataeast/d_dec8.cpp|
| lastmisnu6	|  	| Last Mission (US revision 6)				| lastmisn	| 1986	| Data East USA	| DEC8		| 					| last_mission_dl03-6.13h| src/burn/drv/dataeast/d_dec8.cpp|
| lastmisn	|  	| Last Mission (World revision 8)			| 		| 1986	| Data East Corp| DEC8		| 					| last_mission_dl03-8.13h| src/burn/drv/dataeast/d_dec8.cpp|
| lresort	|  	| Last Resort						| 		| 1992	| SNK		| Neo Geo MVS	| 					| 024-p1.p1| src/burn/drv/neogeo/d_neogeo.cpp|
| lresortp	|  	| Last Resort (prototype)				| lresort	| 1992	| SNK		| Neo Geo MVS	| 					| 024_p1_5937.podd| src/burn/drv/neogeo/d_neogeo.cpp|
| kyustrkr	|  	| Last Striker / Kyuukyoku no Striker			| 		| 1989	| East Technolog| Taito X	| 					| pe.9a| src/burn/drv/taito/d_taitox.cpp|
| lastsurvd	|  	| Last Survivor (FD1094 317-0083 decrypted)		| lastsurv	| 1987	| Sega		| X-Board	| 					| bootleg_epr-12046.ic58| src/burn/drv/sega/d_xbrd.cpp|
| lastsurv	|  	| Last Survivor (FD1094 317-0083)			| 		| 1987	| Sega		| X-Board	| 					| epr-12046.ic58| src/burn/drv/sega/d_xbrd.cpp|
| bagnardi	|  	| Le Bagnard (Itisa, Spain)				| bagman	| 1982	| Valadon Automa| Miscellaneous	| 					| lebag_itisa_5.e9| src/burn/drv/pre90s/d_bagman.cpp|
| bagnardio	|  	| Le Bagnard (Itisa, Spain, older)			| bagman	| 1982	| Valadon Automa| Miscellaneous	| 					| bagnardi_05.e9| src/burn/drv/pre90s/d_bagman.cpp|
| bagnard	|  	| Le Bagnard (set 1)					| bagman	| 1982	| Valadon Automa| Miscellaneous	| 					| e9_b05.bin| src/burn/drv/pre90s/d_bagman.cpp|
| bagnarda	|  	| Le Bagnard (set 2)					| bagman	| 1982	| Valadon Automa| Miscellaneous	| 					| bagman.005| src/burn/drv/pre90s/d_bagman.cpp|
| leadang	|  	| Lead Angle (Japan)					| deadang	| 1988	| Seibu Kaihatsu| Miscellaneous	| 					| 2.18h| src/burn/drv/pre90s/d_deadang.cpp|
| lbowling	|  	| League Bowling (NGM-019)(NGH-019)			| 		| 1990	| SNK		| Neo Geo MVS	| 					| 019-p1.p1| src/burn/drv/neogeo/d_neogeo.cpp|
| ledstorm	|  	| Led Storm (US)					| madgear	| 1988	| Capcom	| Miscellaneous	| 					| mdu_04.8b| src/burn/drv/pre90s/d_lastduel.cpp|
| leds2011u	|  	| Led Storm Rally 2011 (US)				| leds2011	| 1988	| Capcom	| Miscellaneous	| 					| lsu-04.8b| src/burn/drv/pre90s/d_lastduel.cpp|
| leds2011	|  	| Led Storm Rally 2011 (World)				| 		| 1988	| Capcom	| Miscellaneous	| 					| lse_04.8b| src/burn/drv/pre90s/d_lastduel.cpp|
| fitegolfu	|  	| Lee Trevino's Fighting Golf (US, Ver 2, set 1)	| fitegolf	| 1988	| SNK		| Miscellaneous	| 					| gu2_ver2.4p| src/burn/drv/pre90s/d_snk.cpp|
| fitegolfua	|  	| Lee Trevino's Fighting Golf (US, Ver 2, set 2)	| fitegolf	| 1988	| SNK		| Miscellaneous	| 					| fg_ver2_6.4e| src/burn/drv/pre90s/d_snk.cpp|
| fitegolf	|  	| Lee Trevino's Fighting Golf (World?)			| 		| 1988	| SNK		| Miscellaneous	| 					| gu2.4p| src/burn/drv/pre90s/d_snk.cpp|
| legend	|  	| Legend						| 		| 1986	| Kyugo / Sega	| Miscellaneous	| 					| a_r2.rom| src/burn/drv/pre90s/d_kyugo.cpp|
| loht		|  	| Legend of Hero Tonma					| 		| 1989	| Irem		| Irem M72	| 					| tom_c-h0-b.ic40| src/burn/drv/irem/d_m72.cpp|
| lohtb		|  	| Legend of Hero Tonma (bootleg, set 1)			| loht		| 1989	| bootleg	| Irem M72	| 					| lohtb03.b| src/burn/drv/irem/d_m72.cpp|
| lohtb2	|  	| Legend of Hero Tonma (bootleg, set 2)			| loht		| 1989	| bootleg	| Irem M72	| 					| loht-a2.bin| src/burn/drv/irem/d_m72.cpp|
| lohtj		|  	| Legend of Hero Tonma (Japan)				| loht		| 1989	| Irem		| Irem M72	| 					| tom_c-h0-| src/burn/drv/irem/d_m72.cpp|
| legendoh	|  	| Legend of Heroes					| 		| 2000	| Limenko	| Miscellaneous	| 					| 01.sys_rom4| src/burn/drv/pst90s/d_limenko.cpp|
| lomakai	|  	| Legend of Makai (World)				| 		| 1988	| Jaleco	| Mega System 1	| 					| lom_30.rom| src/burn/drv/pre90s/d_megasys1.cpp|
| legendos	|  	| Legend of Success Joe / Ashitano Joe Densetsu		| 		| 1991	| SNK / WAVE	| Neo Geo MVS	| 					| 029-p1.p1| src/burn/drv/neogeo/d_neogeo.cpp|
| lwingsb	|  	| Legendary Wings (bootleg)				| lwings	| 1986	| bootleg	| Miscellaneous	| 					| ic17.bin| src/burn/drv/pre90s/d_lwings.cpp|
| lwings	|  	| Legendary Wings (US set 1)				| 		| 1986	| Capcom	| Miscellaneous	| 					| 6c_lw01.bin| src/burn/drv/pre90s/d_lwings.cpp|
| lwings2	|  	| Legendary Wings (US set 2)				| lwings	| 1986	| Capcom	| Miscellaneous	| 					| u13-l| src/burn/drv/pre90s/d_lwings.cpp|
| legendb	|  	| Legion (bootleg of Legend)				| legend	| 1986	| bootleg	| Miscellaneous	| 					| 06.s02| src/burn/drv/pre90s/d_kyugo.cpp|
| legion	|  	| Legion - Spinner-87 (World ver 2.03)			| 		| 1987	| Nichibutsu	| Miscellaneous	| 					| lg3.bin| src/burn/drv/pre90s/d_armedf.cpp|
| legionnaj	|  	| Legionnaire (Japan)					| legionna	| 1992	| TAD Corporatio| Miscellaneous	| 					| 1.u025| src/burn/drv/pst90s/d_legionna.cpp|
| legionnau	|  	| Legionnaire (US)					| legionna	| 1992	| TAD Corporatio| Miscellaneous	| 					| 1.u025| src/burn/drv/pst90s/d_legionna.cpp|
| legionna	|  	| Legionnaire (World)					| 		| 1992	| TAD Corporatio| Miscellaneous	| 					| 1.u025| src/burn/drv/pst90s/d_legionna.cpp|
| bgareggabla	|  	| Lei Shen Zhuan Thunder Deity Biography (Chinese hack of Battle Garegga)| bgaregga| 1996| hack		| Toaplan GP9001| 					| 27c8100.mon-sys| src/burn/drv/toaplan/d_battleg.cpp|
| lemmings	|  	| Lemmings (US prototype)				| 		| 1991	| Data East USA	| Miscellaneous	| 					| lemmings.5| src/burn/drv/dataeast/d_lemmings.cpp|
| crshrace	|  	| Lethal Crash Race (set 1)				| 		| 1993	| Video System C| Miscellaneous	| 					| 1| src/burn/drv/pst90s/d_crshrace.cpp|
| crshrace2	|  	| Lethal Crash Race (set 2)				| crshrace	| 1993	| Video System C| Miscellaneous	| 					| 01-ic10.bin| src/burn/drv/pst90s/d_crshrace.cpp|
| lethaleneaa	|  	| Lethal Enforcers (ver EAA, 09/09/92 09:44)		| lethalen	| 1992	| Konami	| GX191		| 					| 191_a01.u4| src/burn/drv/konami/d_lethal.cpp|
| lethaleneab	|  	| Lethal Enforcers (ver EAB, 10/14/92 19:53)		| lethalen	| 1992	| Konami	| GX191		| 					| 191eab01.u4| src/burn/drv/konami/d_lethal.cpp|
| lethalenead	|  	| Lethal Enforcers (ver EAD, 11/11/92 10:52)		| lethalen	| 1992	| Konami	| GX191		| 					| 191ead01.u4| src/burn/drv/konami/d_lethal.cpp|
| lethaleneae	|  	| Lethal Enforcers (ver EAE, 11/19/92 16:24)		| lethalen	| 1992	| Konami	| GX191		| 					| 191eae01.u4| src/burn/drv/konami/d_lethal.cpp|
| lethalenj	| D NW	| Lethal Enforcers (ver JAD, 12/04/92 17:16)		| lethalen	| 1992	| Konami	| GX191		| no sprites!				| 191jad01.u4| src/burn/drv/konami/d_lethal.cpp|
| lethalenua	|  	| Lethal Enforcers (ver UAA, 08/17/92 21:38)		| lethalen	| 1992	| Konami	| GX191		| 					| 191uaa01.u4| src/burn/drv/konami/d_lethal.cpp|
| lethalenub	|  	| Lethal Enforcers (ver UAB, 09/01/92 11:12)		| lethalen	| 1992	| Konami	| GX191		| 					| 191uab01.u4| src/burn/drv/konami/d_lethal.cpp|
| lethalen	|  	| Lethal Enforcers (ver UAE, 11/19/92 15:04)		| 		| 1992	| Konami	| GX191		| 					| 191uae01.u4| src/burn/drv/konami/d_lethal.cpp|
| lethalenux	|  	| Lethal Enforcers (ver unknown, US, 08/06/92 15:11, hacked/proto?)| lethalen| 1992	| Konami	| GX191		| 					| 191xxx01.u4| src/burn/drv/konami/d_lethal.cpp|
| lethalth	|  	| Lethal Thunder (World)				| 		| 1991	| Irem		| Irem M92	| 					| lt_d-h0.rom| src/burn/drv/irem/d_m92.cpp|
| levers	|  	| Levers						| 		| 1983	| Rock-ola	| Galaxian	| 					| g96059.a8| src/burn/drv/galaxian/d_galaxian.cpp|
| liblrabl	|  	| Libble Rabble						| 		| 1983	| Namco		| Miscellaneous	| 					| 5b.rom| src/burn/drv/pre90s/d_toypop.cpp|
| liberate	|  	| Liberation						| 		| 1984	| Data East Corp| Miscellaneous	| 					| bt12-2.bin| src/burn/drv/dataeast/d_liberate.cpp|
| lifefrcej	|  	| Lifeforce (Japan)					| salamand	| 1987	| Konami	| GX587		| 					| 587-n02.18b| src/burn/drv/konami/d_nemesis.cpp|
| lifefrce	|  	| Lifeforce (US)					| salamand	| 1986	| Konami	| GX587		| 					| 587-k02.18b| src/burn/drv/konami/d_nemesis.cpp|
| lightbrj	|  	| Light Bringer (Ver 2.1J 1994/02/18)			| lightbr	| 1993	| Taito Corporat| Taito F3 Syste| 					| d69-20.bin| src/burn/drv/taito/d_taitof3.cpp|
| lightbr	|  	| Light Bringer (Ver 2.2O 1994/04/08)			| 		| 1993	| Taito Corporat| Taito F3 Syste| 					| d69-25.ic40| src/burn/drv/taito/d_taitof3.cpp|
| lgtnfghta	|  	| Lightning Fighters (Asia)				| lgtnfght	| 1990	| Konami	| GX939		| 					| 939j_02.e11| src/burn/drv/konami/d_tmnt.cpp|
| lgtnfghtu	|  	| Lightning Fighters (US)				| lgtnfght	| 1990	| Konami	| GX939		| 					| 939m02.e11| src/burn/drv/konami/d_tmnt.cpp|
| lgtnfght	|  	| Lightning Fighters (World)				| 		| 1990	| Konami	| GX939		| 					| 939k02.e11| src/burn/drv/konami/d_tmnt.cpp|
| ltswords	|  	| Lightning Swords					| 		| 1991	| Irem		| Irem M84?	| 					| h0.ic55| src/burn/drv/irem/d_m72.cpp|
| chf_lightsout	|  	| Lights Out (HB)					| 		| 2004	| Sean Riddle	| Channel F	| 					| Lights Out (2004)(Riddle, Sean).bin| src/burn/drv/channelf/d_channelf.cpp|
| shangonle	|  	| Limited Edition Hang-On				| shangon	| 1991	| Sega		| Out Run	| 					| epr-13944.133| src/burn/drv/sega/d_outrun.cpp|
| shangonleeh	|  	| Limited Edition Hang-On (Enhanced Edition v2.0.2)	| shangon	| 2014	| hack (Chris Wh| Out Run	| 					| epr-13944.133.enh| src/burn/drv/sega/d_outrun.cpp|
| loffirejd	|  	| Line of Fire / Bakudan Yarou (Japan, FD1094 317-0134 decrypted)| loffire| 1989	| Sega		| X-Board	| 					| bootleg_epr-12794.58| src/burn/drv/sega/d_xbrd.cpp|
| loffirej	|  	| Line of Fire / Bakudan Yarou (Japan, FD1094 317-0134)	| loffire	| 1989	| Sega		| X-Board	| 					| epr-12794.58| src/burn/drv/sega/d_xbrd.cpp|
| loffireud	|  	| Line of Fire / Bakudan Yarou (US, FD1094 317-0135 decrypted)| loffire	| 1989	| Sega		| X-Board	| 					| bootleg_epr-12847a.58| src/burn/drv/sega/d_xbrd.cpp|
| loffireu	|  	| Line of Fire / Bakudan Yarou (US, FD1094 317-0135)	| loffire	| 1989	| Sega		| X-Board	| 					| epr-12847a.58| src/burn/drv/sega/d_xbrd.cpp|
| loffired	|  	| Line of Fire / Bakudan Yarou (World, FD1094 317-0136 decrypted)| loffire| 1989	| Sega		| X-Board	| 					| bootleg_epr-12849.58| src/burn/drv/sega/d_xbrd.cpp|
| loffire	|  	| Line of Fire / Bakudan Yarou (World, FD1094 317-0136)	| 		| 1989	| Sega		| X-Board	| 					| epr-12849.58| src/burn/drv/sega/d_xbrd.cpp|
| linkypip	|  	| Linky Pipe						| 		| 1998	| Eolith	| Miscellaneous	| 					| u43.bin| src/burn/drv/pst90s/d_eolith.cpp|
| liquidku	|  	| Liquid Kids (US)					| liquidk	| 1990	| Taito America | Taito F2	| 					| c49-09.ic47| src/burn/drv/taito/d_taitof2.cpp|
| liquidk	|  	| Liquid Kids (World)					| 		| 1990	| Taito Corporat| Taito F2	| 					| c49-09.ic47| src/burn/drv/taito/d_taitof2.cpp|
| lithero	|  	| Little Hero						| kidniki	| 1987	| bootleg	| Irem M62	| 					| 4.bin| src/burn/drv/irem/d_m62.cpp|
| livequiz	|  	| Live Quiz Show					| 		| 1999	| Andamiro Enter| Andamiro Midas| 					| flash.u1| src/burn/drv/pst90s/d_midas.cpp|
| lizwiz	|  	| Lizard Wizard						| 		| 1985	| Techstar (Sunn| Pac-man	| 					| 6e.cpu| src/burn/drv/pre90s/d_pacman.cpp|
| lockonph	|  	| Lock On (Philko)					| 		| 1991	| Philco	| System 16B	| 					| b4| src/burn/drv/sega/d_sys16b.cpp|
| lnc		|  	| Lock'n'Chase						| 		| 1981	| Data East Corp| Miscellaneous	| 					| s3-3d| src/burn/drv/pre90s/d_btime.cpp|
| clocknchj	|  	| Lock'n'Chase (DECO Cassette) (Japan)			| clocknch	| 1981	| Data East Corp| Cassette Syste| 					| a-0061.dgl| src/burn/drv/dataeast/d_decocass.cpp|
| clocknch	|  	| Lock'n'Chase (DECO Cassette) (US)			| 		| 1981	| Data East Corp| Cassette Syste| 					| dp-1110_b.dgl| src/burn/drv/dataeast/d_decocass.cpp|
| locomotn	|  	| Loco-Motion						| 		| 1982	| Konami (Centur| Miscellaneous	| 					| 1a.cpu| src/burn/drv/pre90s/d_rallyx.cpp|
| locoboot	|  	| Loco-Motion (bootleg)					| locomotn	| 1982	| bootleg	| Miscellaneous	| 					| g.116| src/burn/drv/pre90s/d_rallyx.cpp|
| ldrun		|  	| Lode Runner (set 1)					| 		| 1984	| Irem (licensed| Irem M62	| 					| lr-a-4e| src/burn/drv/irem/d_m62.cpp|
| ldruna	|  	| Lode Runner (set 2)					| ldrun		| 1984	| Irem (licensed| Irem M62	| 					| roma4c| src/burn/drv/irem/d_m62.cpp|
| loderndfa	|  	| Lode Runner - The Dig Fight (ver. A)			| loderndf	| 2000	| Psikyo	| PS4		| 					| 12.u23| src/burn/drv/psikyo/d_psikyo4.cpp|
| loderndf	|  	| Lode Runner - The Dig Fight (ver. B)			| 		| 2000	| Psikyo	| PS4		| 					| 1b.u23| src/burn/drv/psikyo/d_psikyo4.cpp|
| ldrun2	|  	| Lode Runner II - The Bungeling Strikes Back		| 		| 1984	| Irem (licensed| Irem M62	| 					| lr2-a-4e.a| src/burn/drv/irem/d_m62.cpp|
| ldrun3j	|  	| Lode Runner III - Majin No Fukkatsu			| ldrun3	| 1985	| Irem (licensed| Irem M62	| 					| lr3-a-4e| src/burn/drv/irem/d_m62.cpp|
| ldrun3	|  	| Lode Runner III - The Golden Labyrinth		| 		| 1985	| Irem (licensed| Irem M62	| 					| lr3a4eb.bin| src/burn/drv/irem/d_m62.cpp|
| ldrun4	|  	| Lode Runner IV - Teikoku Karano Dasshutsu		| 		| 1986	| Irem (licensed| Irem M62	| 					| lr4-a-4e| src/burn/drv/irem/d_m62.cpp|
| logicpro	|  	| Logic Pro (Japan)					| croquis	| 1996	| Deniam	| Deniam-16b Har| 					| logicpro.r4| src/burn/drv/pst90s/d_deniam.cpp|
| logicpr2	|  	| Logic Pro 2 (Japan)					| 		| 1997	| Deniam	| Deniam-16c Har| 					| lp2-2| src/burn/drv/pst90s/d_deniam.cpp|
| looper	|  	| Looper						| changes	| 1982	| Orca		| Miscellaneous	| 					| changes.1| src/burn/drv/pre90s/d_marineb.cpp|
| lordgun	|  	| Lord of Gun (USA)					| 		| 1994	| IGS		| Miscellaneous	| 					| lordgun.10| src/burn/drv/pst90s/d_lordgun.cpp|
| losttomb	|  	| Lost Tomb (Easy)					| 		| 1982	| Stern		| Galaxian	| 					| 2c| src/burn/drv/galaxian/d_galaxian.cpp|
| losttombh	|  	| Lost Tomb (Hard)					| losttomb	| 1982	| Stern		| Galaxian	| 					| 2c| src/burn/drv/galaxian/d_galaxian.cpp|
| lostwrldo	|  	| Lost Worlds (Japan Old ver.)				| forgottn	| 1988	| Capcom	| CPS1		| 					| lw_11.14f| src/burn/drv/capcom/d_cps1.cpp|
| lostwrld	|  	| Lost Worlds (Japan)					| forgottn	| 1988	| Capcom	| CPS1		| 					| lw_11c.14f| src/burn/drv/capcom/d_cps1.cpp|
| lotlot	|  	| Lot Lot						| 		| 1985	| Irem (licensed| Irem M62	| 					| lot-a-4e| src/burn/drv/irem/d_m62.cpp|
| lottofun	|   NW	| Lotto Fun						| 		| 1987	| H.A.R. Managem| 6809 System	| 					| vl7a.dat| src/burn/drv/pre90s/d_williams.cpp|
| janjans1	|  	| Lovely Pop Mahjong JangJang Shimasho (Japan)		| 		| 1996	| Visco		| SSV		| 					| jj1-data.bin| src/burn/drv/pst90s/d_ssv.cpp|
| janjans2	|  	| Lovely Pop Mahjong JangJang Shimasho 2 (Japan)	| 		| 2000	| Visco		| SSV		| 					| jan2-dat.u28| src/burn/drv/pst90s/d_ssv.cpp|
| loverboy	|  	| Lover Boy						| 		| 1983	| G.T Enterprise| Jack the Giant| 					| lover.r0| src/burn/drv/pre90s/d_jack.cpp|
| kovlsyx	|  	| Luan Shi Ying Xiong (hack of Knights of Valour Super Heroes Plus, ver. 500)| kovshp| 2014| Hack		| PolyGameMaster| Imperfect Protection Emulation	| p0600h_101_po182.rom| src/burn/drv/pgm/d_pgm.cpp|
| kovlsyxqszl	|  	| Luan Shi Ying Xiong - Qiu Sheng Zhi Lu (hack of Knights of Valour Super Heroes Plus, ver. 500)| kovshp| 2018| Hack| PolyGameMaster| Imperfect Protection Emulation| p0600h_101_po100.rom| src/burn/drv/pgm/d_pgm.cpp|
| kovlsyxqxzl	|  	| Luan Shi Ying Xiong - Qun Xiong Zhu Lu (hack of Knights of Valour Super Heroes Plus, ver. 500)| kovshp| 2018| Hack| PolyGameMaster| Imperfect Protection Emulation| p0600h_101_po101.rom| src/burn/drv/pgm/d_pgm.cpp|
| kovlsyxqxzlp	|  	| Luan Shi Ying Xiong - Qun Xiong Zhu Lu Plus (hack of Knights of Valour Super Heroes Plus, ver. 500)| kovshp| 2018| Hack| PolyGameMaster| Imperfect Protection Emulation| p0600h_101_po102.rom| src/burn/drv/pgm/d_pgm.cpp|
| kovshpd3dw	|  	| Luan Shi Ying Xiong - Qun Xiong Zhu Lu Wu Shuang Edition (Hack, ver. 500)| kovshp| 2020-12-18| Hack	| PolyGameMaster| Imperfect Protection Emulation	| kovshpd3dw_p0600.rom| src/burn/drv/pgm/d_pgm.cpp|
| luckywld	|  	| Lucky & Wild						| 		| 1992	| Namco		| System 2	| 					| lw2mp0.11d| src/burn/drv/pst90s/d_namcos2.cpp|
| luckywldj	|  	| Lucky & Wild (Japan)					| luckywld	| 1992	| Namco		| System 2	| 					| lw1mpr0.11d| src/burn/drv/pst90s/d_namcos2.cpp|
| cluckypo	|  	| Lucky Poker (DECO Cassette) (US)			| 		| 1981	| Data East Corp| Cassette Syste| 					| dp-1150_b.dgl| src/burn/drv/dataeast/d_decocass.cpp|
| luctoday	|  	| Lucky Today						| 		| 1980	| Sigma		| Galaxian	| Bad colours				| ltprog1.bin| src/burn/drv/galaxian/d_galaxian.cpp|
| lunarba1	|  	| Lunar Battle (prototype, earlier)			| gravitar	| 1982	| Atari		| Miscellaneous	| 					| vrom1.bin| src/burn/drv/pre90s/d_bwidow.cpp|
| lunarbat	|  	| Lunar Battle (prototype, later)			| gravitar	| 1982	| Atari		| Miscellaneous	| 					| 136010-010.l7| src/burn/drv/pre90s/d_bwidow.cpp|
| llander1	|  	| Lunar Lander (rev 1)					| llander	| 1979	| Atari		| Miscellaneous	| 					| 034572-01.f1| src/burn/drv/pre90s/d_asteroids.cpp|
| llander	|  	| Lunar Lander (rev 2)					| 		| 1979	| Atari		| Miscellaneous	| 					| 034572-02.f1| src/burn/drv/pre90s/d_asteroids.cpp|
| llandert	| D	| Lunar Lander (screen test)				| llander	| 1979	| Atari		| Miscellaneous	| 					| llprom0.de1| src/burn/drv/pre90s/d_asteroids.cpp|
| luplup10	|  	| Lup Lup Puzzle / Zhuan Zhuan Puzzle (version 1.05 / 981214)| suplup	| 1999	| Omega System (| Miscellaneous	| 					| p0_rom1.rom1| src/burn/drv/pst90s/d_vamphalf.cpp|
| luplup29	|  	| Lup Lup Puzzle / Zhuan Zhuan Puzzle (version 2.9 / 990108)| suplup	| 1999	| Omega System	| Miscellaneous	| 					| luplup-rom1.v29| src/burn/drv/pst90s/d_vamphalf.cpp|
| luplup	|  	| Lup Lup Puzzle / Zhuan Zhuan Puzzle (version 3.0 / 990128)| suplup	| 1999	| Omega System	| Miscellaneous	| 					| luplup-rom1.v30| src/burn/drv/pst90s/d_vamphalf.cpp|
| miaj		|  	| M.I.A. - Missing in Action (version R) (Japan)	| mia		| 1989	| Konami	| GX808		| 					| 808_r05.6n| src/burn/drv/konami/d_twin16.cpp|
| mia2		|  	| M.I.A. - Missing in Action (version S)		| mia		| 1989	| Konami	| GX808		| 					| 808s20.h17| src/burn/drv/konami/d_tmnt.cpp|
| mia		|  	| M.I.A. - Missing in Action (version T)		| 		| 1989	| Konami	| GX808		| 					| 808t20.h17| src/burn/drv/konami/d_tmnt.cpp|
| machbrkr	|  	| Mach Breakers (World, MB2)				| 		| 1995	| Namco		| NB-1 / NB-2	| 					| mb2_mprl.11c| src/burn/drv/pst90s/d_namconb1.cpp|
| machbrkrj	|  	| Mach Breakers - Numan Athletics 2 (Japan, MB1)	| machbrkr	| 1995	| Namco		| NB-1 / NB-2	| 					| mb1_mprl.11c| src/burn/drv/pst90s/d_namconb1.cpp|
| mach9		|  	| Mach-9 (bootleg of Vulgus)				| vulgus	| 1984	| bootleg (ITISA| Miscellaneous	| 					| 02_4n.bin| src/burn/drv/pre90s/d_vulgus.cpp|
| machomou	|  	| Macho Mouse						| 		| 1982	| Techstar	| Miscellaneous	| 					| mm1.2g| src/burn/drv/pre90s/d_thepit.cpp|
| macross2k	|  	| Macross II (Korea)					| macross2	| 1993	| Banpresto	| NMK16		| 					| 1.3| src/burn/drv/pst90s/d_nmk16.cpp|
| macrossp	|  	| Macross Plus						| 		| 1996	| MOSS / Banpres| Miscellaneous	| 					| bp964a-c.u1| src/burn/drv/pst90s/d_macrossp.cpp|
| madcrash	|  	| Mad Crasher						| 		| 1984	| SNK		| Miscellaneous	| 					| p8.9a| src/burn/drv/pre90s/d_snk.cpp|
| madcrush	|  	| Mad Crusher (Japan)					| madcrash	| 1984	| SNK		| Miscellaneous	| 					| p3.a8| src/burn/drv/pre90s/d_snk.cpp|
| maddonna	|  	| Mad Donna (set 1)					| 		| 1995	| Tuning	| Miscellaneous	| 					| maddonna.b16| src/burn/drv/pst90s/d_oneshot.cpp|
| maddonnb	| D NW	| Mad Donna (set 2)					| maddonna	| 1995	| Tuning	| Miscellaneous	| 					| maddonnb.b16| src/burn/drv/pst90s/d_oneshot.cpp|
| madgearj	|  	| Mad Gear (Japan)					| madgear	| 1989	| Capcom	| Miscellaneous	| 					| mdj_04.8b| src/burn/drv/pre90s/d_lastduel.cpp|
| madgear	|  	| Mad Gear (US)						| 		| 1989	| Capcom	| Miscellaneous	| 					| mg_04.8b| src/burn/drv/pre90s/d_lastduel.cpp|
| madmotor	|  	| Mad Motor (prototype)					| 		| 1989	| Mitchell	| Miscellaneous	| 					| 02-2.b4| src/burn/drv/pre90s/d_madmotor.cpp|
| mplanets	|  	| Mad Planets						| 		| 1983	| Gottlieb	| Miscellaneous	| 					| rom4.c16| src/burn/drv/pre90s/d_qbert.cpp|
| mplanetsuk	|  	| Mad Planets (UK)					| mplanets	| 1983	| Gottlieb (Tait| Miscellaneous	| 					| mpt_rom4.bin| src/burn/drv/pre90s/d_qbert.cpp|
| madshark	|  	| Mad Shark						| 		| 1993	| Allumer	| Seta		| 					| fq001002.201| src/burn/drv/pst90s/d_seta.cpp|
| magmax	|  	| Mag Max						| 		| 1985	| Nichibutsu	| Miscellaneous	| 					| 1.3b| src/burn/drv/pre90s/d_magmax.cpp|
| mbrush	|  	| Magic Brush						| crush		| 1981	| bootleg	| Pac-man	| 					| mbrush.6e| src/burn/drv/pre90s/d_pacman.cpp|
| magicbub	|  	| Magic Bubble						| 		| 199?	| Yun Sung	| Yun Sung 16 Bi| 					| magbuble.u33| src/burn/drv/pst90s/d_yunsun16.cpp|
| magicbubc	|  	| Magic Bubble (Adult version, YS-0211 PCB)		| magicbub	| 199?	| Yun Sung	| Yun Sung 16 Bi| 					| u33| src/burn/drv/pst90s/d_yunsun16.cpp|
| magicbuba	|  	| Magic Bubble (Adult version, YS-1302 PCB, set 1)	| magicbub	| 199?	| Yun Sung	| Yun Sung 16 Bi| 					| u33.bin| src/burn/drv/pst90s/d_yunsun16.cpp|
| magicbubb	|  	| Magic Bubble (Adult version, YS-1302 PCB, set 2)	| magicbub	| 199?	| Yun Sung	| Yun Sung 16 Bi| 					| p2.u33| src/burn/drv/pst90s/d_yunsun16.cpp|
| chf_magicnum	|  	| Magic Numbers / Mind Reader / Nim			| 		| 1977	| Fairchild	| Channel F	| 					| magicnum.bin| src/burn/drv/channelf/d_channelf.cpp|
| magipur	|  	| Magic Purple						| 		| 1996	| Unico		| Miscellaneous	| 					| 2-27c040.bin| src/burn/drv/pst90s/d_tumbleb.cpp|
| mswordj	|  	| Magic Sword (23.06.1990 Japan)			| msword	| 1990	| Capcom	| CPS1		| 					| msj_36.12f| src/burn/drv/capcom/d_cps1.cpp|
| mswordr1	|  	| Magic Sword - heroic fantasy (23.06.1990 other country)| msword	| 1990	| Capcom	| CPS1		| 					| ms_30.11f| src/burn/drv/capcom/d_cps1.cpp|
| msword	|  	| Magic Sword - heroic fantasy (25.07.1990 other country)| 		| 1990	| Capcom	| CPS1		| 					| mse_30.11f| src/burn/drv/capcom/d_cps1.cpp|
| mswordu	|  	| Magic Sword - heroic fantasy (25.07.1990 USA)		| msword	| 1990	| Capcom	| CPS1		| 					| msu_30.11f| src/burn/drv/capcom/d_cps1.cpp|
| mcatadv	|  	| Magical Cat Adventure					| 		| 1993	| Wintechno	| LINDA		| 					| mca-u30e| src/burn/drv/pst90s/d_mcatadv.cpp|
| mcatadvj	|  	| Magical Cat Adventure (Japan)				| mcatadv	| 1993	| Wintechno	| LINDA		| 					| u30.bin| src/burn/drv/pst90s/d_mcatadv.cpp|
| mgcrystlj	|  	| Magical Crystals (Japan, 92/01/13)			| mgcrystl	| 1991	| Kaneko (Atlus | Kaneko16	| 					| kaneko__mc100-u18j-02.u18| src/burn/drv/pst90s/d_kaneko16.cpp|
